rf ngram-7 malgan tested against dt: 122 benign files and 235 malicious files | 34.173669467787114% bypass
rf ngram-7 malgan tested against svm: 60 benign files and 297 malicious files | 16.80672268907563% bypass
rf ngram-7 malgan tested against knn: 329 benign files and 28 malicious files | 92.15686274509804% bypass
rf ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
rf ngram-7 malgan tested against lr: 43 benign files and 314 malicious files | 12.044817927170868% bypass
rf ngram-7 malgan tested against mlp: 100 benign files and 257 malicious files | 28.011204481792717% bypass
rf ngram-7 malgan tested against ensemble: 104 benign files and 253 malicious files | 29.13165266106443% bypass
dt ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-7 malgan tested against svm: 354 benign files and 3 malicious files | 99.15966386554622% bypass
dt ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-7 malgan tested against gnb: 300 benign files and 57 malicious files | 84.03361344537815% bypass
dt ngram-7 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-7 malgan tested against mlp: 355 benign files and 2 malicious files | 99.43977591036415% bypass
dt ngram-7 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-7 malgan tested against dt: 356 benign files and 1 malicious files | 99.71988795518207% bypass
svm ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
svm ngram-7 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-7 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-7 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-7 malgan tested against dt: 111 benign files and 246 malicious files | 31.092436974789916% bypass
knn ngram-7 malgan tested against svm: 223 benign files and 134 malicious files | 62.46498599439776% bypass
knn ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
knn ngram-7 malgan tested against lr: 159 benign files and 198 malicious files | 44.537815126050425% bypass
knn ngram-7 malgan tested against mlp: 355 benign files and 2 malicious files | 99.43977591036415% bypass
knn ngram-7 malgan tested against ensemble: 243 benign files and 114 malicious files | 68.0672268907563% bypass
gnb ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-7 malgan tested against dt: 68 benign files and 289 malicious files | 19.047619047619047% bypass
gnb ngram-7 malgan tested against svm: 338 benign files and 19 malicious files | 94.67787114845937% bypass
gnb ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-7 malgan tested against lr: 347 benign files and 10 malicious files | 97.19887955182072% bypass
gnb ngram-7 malgan tested against mlp: 353 benign files and 4 malicious files | 98.8795518207283% bypass
gnb ngram-7 malgan tested against ensemble: 348 benign files and 9 malicious files | 97.47899159663865% bypass
lr ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-7 malgan tested against dt: 342 benign files and 15 malicious files | 95.7983193277311% bypass
lr ngram-7 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
lr ngram-7 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-7 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against dt: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
mlp ngram-7 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-7 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-7 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-7 malgan tested against dt: 280 benign files and 77 malicious files | 78.43137254901961% bypass
ensemble ngram-7 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-7 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-7 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
ensemble ngram-7 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-7 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
