rf ngram-8 malgan tested against dt: 133 benign files and 224 malicious files | 37.254901960784316% bypass
rf ngram-8 malgan tested against svm: 279 benign files and 78 malicious files | 78.15126050420169% bypass
rf ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
rf ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
rf ngram-8 malgan tested against lr: 294 benign files and 63 malicious files | 82.35294117647058% bypass
rf ngram-8 malgan tested against mlp: 350 benign files and 7 malicious files | 98.0392156862745% bypass
rf ngram-8 malgan tested against ensemble: 328 benign files and 29 malicious files | 91.87675070028011% bypass
dt ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-8 malgan tested against svm: 222 benign files and 135 malicious files | 62.18487394957983% bypass
dt ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
dt ngram-8 malgan tested against lr: 265 benign files and 92 malicious files | 74.2296918767507% bypass
dt ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-8 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-8 malgan tested against dt: 275 benign files and 82 malicious files | 77.03081232492998% bypass
svm ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
svm ngram-8 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-8 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-8 malgan tested against dt: 312 benign files and 45 malicious files | 87.39495798319328% bypass
knn ngram-8 malgan tested against svm: 349 benign files and 8 malicious files | 97.75910364145658% bypass
knn ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
knn ngram-8 malgan tested against lr: 349 benign files and 8 malicious files | 97.75910364145658% bypass
knn ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-8 malgan tested against ensemble: 349 benign files and 8 malicious files | 97.75910364145658% bypass
gnb ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-8 malgan tested against dt: 306 benign files and 51 malicious files | 85.71428571428571% bypass
gnb ngram-8 malgan tested against svm: 349 benign files and 8 malicious files | 97.75910364145658% bypass
gnb ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-8 malgan tested against lr: 352 benign files and 5 malicious files | 98.59943977591037% bypass
gnb ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-8 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-8 malgan tested against dt: 255 benign files and 102 malicious files | 71.42857142857143% bypass
lr ngram-8 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-8 malgan tested against knn: 355 benign files and 2 malicious files | 99.43977591036415% bypass
lr ngram-8 malgan tested against gnb: 325 benign files and 32 malicious files | 91.03641456582633% bypass
lr ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-8 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-8 malgan tested against dt: 91 benign files and 266 malicious files | 25.49019607843137% bypass
mlp ngram-8 malgan tested against svm: 310 benign files and 47 malicious files | 86.83473389355743% bypass
mlp ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
mlp ngram-8 malgan tested against lr: 337 benign files and 20 malicious files | 94.39775910364145% bypass
mlp ngram-8 malgan tested against ensemble: 338 benign files and 19 malicious files | 94.67787114845937% bypass
ensemble ngram-8 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-8 malgan tested against dt: 120 benign files and 237 malicious files | 33.61344537815126% bypass
ensemble ngram-8 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-8 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-8 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
ensemble ngram-8 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-8 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
