rf ngram-6 malgan tested against dt: 88 benign files and 269 malicious files | 24.649859943977592% bypass
rf ngram-6 malgan tested against svm: 351 benign files and 6 malicious files | 98.31932773109243% bypass
rf ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
rf ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
rf ngram-6 malgan tested against lr: 334 benign files and 23 malicious files | 93.55742296918767% bypass
rf ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
rf ngram-6 malgan tested against ensemble: 353 benign files and 4 malicious files | 98.8795518207283% bypass
dt ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-6 malgan tested against svm: 325 benign files and 32 malicious files | 91.03641456582633% bypass
dt ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
dt ngram-6 malgan tested against lr: 326 benign files and 31 malicious files | 91.31652661064426% bypass
dt ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-6 malgan tested against ensemble: 356 benign files and 1 malicious files | 99.71988795518207% bypass
svm ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-6 malgan tested against dt: 253 benign files and 104 malicious files | 70.86834733893558% bypass
svm ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
svm ngram-6 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-6 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-6 malgan tested against dt: 311 benign files and 46 malicious files | 87.11484593837535% bypass
knn ngram-6 malgan tested against svm: 325 benign files and 32 malicious files | 91.03641456582633% bypass
knn ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
knn ngram-6 malgan tested against lr: 323 benign files and 34 malicious files | 90.47619047619048% bypass
knn ngram-6 malgan tested against mlp: 293 benign files and 64 malicious files | 82.07282913165265% bypass
knn ngram-6 malgan tested against ensemble: 337 benign files and 20 malicious files | 94.39775910364145% bypass
gnb ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-6 malgan tested against dt: 356 benign files and 1 malicious files | 99.71988795518207% bypass
gnb ngram-6 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-6 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-6 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-6 malgan tested against dt: 128 benign files and 229 malicious files | 35.85434173669468% bypass
lr ngram-6 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
lr ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-6 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-6 malgan tested against dt: 256 benign files and 101 malicious files | 71.70868347338936% bypass
mlp ngram-6 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
mlp ngram-6 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-6 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-6 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-6 malgan tested against dt: 253 benign files and 104 malicious files | 70.86834733893558% bypass
ensemble ngram-6 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-6 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-6 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
ensemble ngram-6 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-6 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
